team,latest_elo
India,1760.5774718341095
Australia,1731.4381709746212
Pakistan,1673.016165472621
South Africa,1660.382850794051
Sri Lanka,1638.9719259748547
New Zealand,1621.8807459712332
England,1610.614790996991
Scotland,1548.788820659658
Bangladesh,1531.6396312725144
Afghanistan,1531.5399498792442
West Indies,1528.9190047941631
Bermuda,1476.4275542806756
Hong Kong,1456.1866788904458
United States,1455.3438794419783
Oman,1452.0045752109118
Jersey,1450.1879316929744
Namibia,1437.692729001765
Nepal,1417.293014711205
Ireland,1416.0525368138806
Netherlands,1414.1087707740207
Canada,1404.3173602815718
Zimbabwe,1368.8076540645352
Kenya,1342.139657267423
United Arab Emirates,1309.309702260835
Papua New Guinea,1262.358426683717
